"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"57",217,8650,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,1924,0
"58",218,8387,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,1865,0
"59",219,5892,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,1310,0
"60",220,7143,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,1589,0
"61",221,5817,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,1294,0
"62",222,6318,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,1405,0
"63",223,5108,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,1136,0
"64",224,7214,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,1604,0
"65",225,3843,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,855,0
"66",226,7160,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1592,0
"67",227,450,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,100,0
"68",228,1070,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,238,0
"69",229,169,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,38,0
"70",230,11,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,2,0
"71",301,64764,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,14403,0.3
"72",302,82413,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,18328,0.3
"73",303,305375,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,67914,1.2
"74",304,2202,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,490,0
"75",305,24804,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,5516,0.1
"76",306,187350,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,41666,0.7
"77",307,292159,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,64975,1.1
"78",308,283384,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,63023,1.1
"79",309,160336,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,35658,0.6
"80",310,328823,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,73128,1.3
