TransitionGroupID,Model_Code,annual_probability,BpS_Name,BLUE,ACRES,REL_PERCENT,annual_dist_acres
All Fire,14810_41_50_51_63,0.000999,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1,1311036,23.1,1309.724964
All Transitions,14810_41_50_51_63,0.0051708,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1,1311036,23.1,6779.104949
Non Fire Disturbances,14810_41_50_51_63,0.0041718,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1,1311036,23.1,5469.379985
Replacement Fire,14810_41_50_51_63,0.000999,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1,1311036,23.1,1309.724964
Wind or Weather or Stress,14810_41_50_51_63,0.0041718,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1,1311036,23.1,5469.379985
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,483.929154
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,1778.987297
Alternative Succession,13022_41_50_51,0.000384,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,382.363776
Non Fire Disturbances,13022_41_50_51,0.0009166,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,912.6943674
Replacement Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,483.929154
Wind or Weather or Stress,13022_41_50_51,0.0009166,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,0,995739,17.5,912.6943674
All Fire,14770_40_41_50_51,0.0096418,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,8802.953758
All Transitions,14770_40_41_50_51,0.0232502,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,21227.40935
Insect or Disease,14770_40_41_50_51,0.0016394,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,1496.770561
Non Fire Disturbances,14770_40_41_50_51,0.0136084,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,12424.45559
Non Replacement Fire,14770_40_41_50_51,0.0082316,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,7515.442568
Optional 1,14770_40_41_50_51,0.009123,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,8329.289877
Optional Types,14770_40_41_50_51,0.009123,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,8329.289877
Replacement Fire,14770_40_41_50_51,0.0014102,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,1287.51119
Surface Fire,14770_40_41_50_51,0.0082316,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,7515.442568
Wind or Weather or Stress,14770_40_41_50_51,0.002846,Boreal Acidic Peatland Systems,0.541176471,912999,16.1,2598.395154
All Fire,13652_51,0.0018992,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,890.753288
All Transitions,13652_51,0.0173768,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,8149.979852
Alternative Succession,13652_51,0.0013544,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,635.233916
Insect or Disease,13652_51,0.0132968,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,6236.398652
Mixed Fire,13652_51,0.00079,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,370.52185
Non Fire Disturbances,13652_51,0.0141232,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,6623.992648
Non Replacement Fire,13652_51,0.00079,Boreal White Spruce-Fir-Hardwood Forest - Coastal,0.274509804,469015,8.3,370.52185
